EXP       	CONCEPTOS DE EXPEDIENTES	E	X		S	S	0.0	N	S	0.0	0	COAATLR   	00	N		S	EXP	N		N	S	N	01		N
PLA4F     	PLOTEO FOTOGRAFICO A4	F	759900072	759973	N	S	1.3	N	N	.23000000000000001	0	COAATLR   	Z8	N		S	759973	N		N	S	N	01		N
PLA4L     	PLOTEO LINEAL A4	F	759900072	759973	N	S	.59999999999999998	N	N	.11	0	COAATLR   	Z8	N		S	759973	N		N	S	N	01		N
PREOC     	BASE DE PRECIOS. PREOC	F	759900069	759970	N	S	6.0099999999999998	N	N	1.0800000000000001	0	COAATLR   	Z8	N		S	759970	N		N	S	N	01		N
PRGCC     	PROGRAMA CONTROL DE CALIDAD CCWIN LA RIOJA	F	759900069	759971	N	S	0.0	N	N	0.0	0	COAATLR   	Z8	N		S	759971	N		N	S	N	01		N
PROER     	PROGRAMA EVALUADOR RIESGOS LABORALES (UNECA)	F	759900069	759970	N	S	120.2	N	N	21.640000000000001	0	COAATLR   	Z8	N		S	759970	N		N	S	N	01		N
PSOCM     	PROYECTO SUBVENCIONADO POR EL ADER AL COAAT RIOJA	F	555000002	659510	N	S	0.0	N	N	0.0	0	COAATLR   	Z8	N		S	5550	N		N	S	N	01		N
PUBFT     	FOTOLITO. PUBLICIDAD BOLETIN	F	759900080	759980	N	S	0.0	N	N	0.0	0	COAATLR   	Z8	N		S	759980	N		N	S	N	01		N
PUBOC     	PUBLICIDAD BOLETIN DEL C.O.A.A.T.	F	759900080	759980	N	S	1502.53	N	N	270.45999999999998	0	COAATLR   	Z8	N		S	759980	N		N	S	N	01		N
RGT01     	CD-ROM REGLAMENTOS TECNICOS OFICIALES	F	759900069	759970	N	S	14.51	N	N	2.6099999999999999	0	COAATLR   	Z8	N		S	759970	N		N	S	N	01		N
TJ000     	TARJETA 1000 FOTOCOPIAS	F	759900072	759972	N	S	21.550000000000001	N	N	3.8799999999999999	0	COAATLR   	Z8	N		S	759972	N		N	S	N	01		N
TJ020     	TARJETA 20 FOTOCOPIAS	F	759900072	759972	N	S	.85999999999999999	N	N	.14999999999999999	0	COAATLR   	Z8	N		S	759972	N		N	S	N	01		N
TJ050     	TARJETA 50 FOTOCOPIAS	F	759900072	759972	N	S	1.3700000000000001	N	N	.25	0	COAATLR   	Z8	N		S	759972	N		N	S	N	01		N
TJ500     	TARJETA 500 FOTOCOPIAS	F	759900072	759972	N	S	10.859999999999999	N	N	1.95	0	COAATLR   	Z8	N		S	759972	N		N	S	N	01		N
VAR00     	EQUIPOS INFORMATICOS USADOS	F	759900001	227001	N	S	77.590000000000003	N	N	13.970000000000001	0	COAATLR   	Z8	N		S	227001	N		N	S	N	01		N
TMF       	TASA MANTENIMIENTO FICHEROS		700000900		N	S	0.0	S	N	0.0	0	COAATLR   	Z8	N		S	6503	N		N	S	N	01		N
07        	DERECHOS DE INTERVENCION COLEGIAL	D	700000010	70000003	S	S	0.0	N	S	0.0	0	COAATLR   	Z8	N		N	DIC	N		N	S	N	01		N
TA005     	VISITA TECNICO DE GABINETE Y TOMA DE DATOS		759900600		N	N	125.0	N	N	22.5		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
BMCC      	BORRADOR TRABAJO TECNICO		759900071		N	N	0.0	S	N	0.0	0	COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
MTP       	MATERIAL PROFESIONAL		759900070		N	N	0.0	S	N	0.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
CCW       	PROGRAMA CCWIN		759900070		N	N	0.0	S	N	0.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
TIP       	TRABAJOS DE IMPRESION Y PLOTEADO		759900073		N	N	0.0	S	N	0.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
VAR       	OTROS SUMINISTROS Y SERVICIOS		759900900		N	N	0.0	S	N	0.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
INFOR     	REDACCION DE INFORME TECNICO		759900600		N	S	0.0	S	N	0.0	0	COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
INFEP     	ENSAYOS Y PRUEBAS LABORATORIO		628000003		N	S	100.0	S	N	18.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
201       	CUOTA COLEGIAL ANUAL	C	700000000	70000006	N	S	0.0	N	N	0.0	0	COAATLR   	Z8	N		S	CMI	N		N	S	N	01		N
FPLAN     	FUNDAS DE PLANOS	F	759900069	759970	N	S	.14999999999999999	N	N	.029999999999999999	0	COAATLR   	Z8	N		S	759970	N		N	S	N	01		N
ICI09     	INSCRIPCION CURSO DE CONFECCION DE PAGINAS WEB	F	700100010	700149	N	S	102.17	N	N	18.390000000000001	0	COAATLR   	Z8	N		S	700149	N		N	S	N	01		N
LINCI     	LIBRO DE INCIDENCIAS	F	759900070	759970	N	N	6.0	S	N	1.0800000000000001	0	COAATLR   	Z8	N		0	759970	N		N	S	N	01		N
DESPA     	DESPLAZAMIENTO  PERSONAL TECNICO	F	759900600	759940	N	S	0.0	N	N	0.0	0	COAATLR   	Z8	N		S	759940	N		N	S	N	01		N
PLA1C     	PLOTEO COPIA A1	F	759900072	759973	N	S	1.0	N	N	.17999999999999999	0	COAATLR   	Z8	N		S	759973	N		N	S	N	01		N
TJ100     	TARJETA 100 FOTOCOPIAS	F	759900072	759972	N	S	2.4100000000000001	N	N	.42999999999999999	0	COAATLR   	Z8	N		S	759972	N		N	S	N	01		N
INFVP     	INFORMES. VISITA PRELIMINAR		759900600		N	S	110.0	S	N	19.800000000000001	0	COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
20T       	CUOTA COLEGIAL TRIMESTRAL		700000000		N	S	0.0	S	N	0.0		COAATLR   	Z8	N		S	CCT	N		N	S	N	01		N
CETA      	CALCULO DE ESTRUCTURAS.		759900500		S	S	0.0	S	S	0.0	0	COAATLR   	Z8	N		S	0000	N		N	S	N	01		N
CEM2      	CALCULO DE ESTRUCTURAS. M2		759900500		S	S	.63	S	S	.11	0	COAATLR   	Z8	N		S	0000	N		N	S	N	01		N
MEDIF     	MANTENIMIENTO DE EDIFICIOS	00	759900800		N	S	1.0	S	N	.17999999999999999	0	COAATLR   	Z8	N		S	0000	N		N	S	N	01		N
CVAL      	CONVENIOS AYUNTAMIENTO DE LOGROÑO		485002006		N	S	0.0	S	N	0.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
LITO      	LITOGRAFIAS		759900001		N	N	0.0	S	N	0.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
PRGV      	PROGRAMA VISARED		553000003		N	S	0.0	S	N	0.0		COAATLR   	Z8	N		N	0000	N		N	S	N	01		N
AB        	ALQUILER, IBI, AGUA YBASURA LOCAL - JORGE VIGON, 72	00	622400003	622400003	N	N	0.0	S	N	0.0		COAATLR   	Z8	N	 	N	000	N	 	N	S	N	01		N
AB1       	ALQUILER, IBI, AGUA Y BASURA, PABELLON LA PORTALADA	00	622400002	6224000002	N	N	0.0	S	N	0.0		COAATLR   	00	N	 	N	00	N	 	N	N	N	01	 	N
00-01     	VISADO POR INTERVENCIÓN COLEGIAL	 	700001001	700001001	S	S	100.0	S	S	18.0		COAATLR   	Z8	N	 	N	Visado	N	 	S	S	N	01		N
00-02     	EXPEDICIÓN LIBRO DE INCIDENCIAS	 	700001002	700001002	S	S	50.0	S	S	9.0		COAATLR   	Z8	N	 	N	Libro Incidencias	N	 	S	S	N	01		N
00-00     	GASTOS DE REGISTRO POR INTERVENCION	00	700001000	700001000	S	S	155.0	S	S	27.899999999999999		COAATLR   	Z8	N	 	N	Registro	N	 	S	S	N	01		N
00-03     	EXPEDICIÓN LIBRO DE ORDENES	 	700001003	700001003	S	S	25.0	S	S	4.5		COAATLR   	Z8	N	 	N	Libro Ordenes	N	 	S	S	N	01		N
00-04     	REVISIÓN DOCUMENTAL DE EXPEDIENTE	 	700001004	700001004	S	S	50.0	S	S	9.0		COAATLR   	Z8	N	 	N	Revisión	N	 	S	S	N	01		N
00-05     	GESTIÓN DE COBRO	 	700001005	700001005	S	S	20.0	S	S	3.6000000000000001		COAATLR   	Z8	N	 	N	Gestión cobro	N	 	S	S	N	01		N
00-06     	CERTIFICADO ACTUACIÓN PROFESIONAL	 	700001006	700001006	S	S	20.0	S	S	3.6000000000000001		COAATLR   	Z8	N	 	N	Certificado actuación	N	 	S	S	N	01		N
101       	INGRESO MUSAAT	01	754000002	75400002	S	S	0.0	N	N	0.0	0	COAATLR   	Z8	N		N	IMU	N		N	N	N	01		N
VPF01     	ASESORAMIENTO Y VISITA PROFESIONAL	F	759900600	650370	N	S	56.799999999999997	S	N	10.220000000000001	0	COAATLR   	Z8	N		S	650370	N		N	S	N	01		N
12        	PRIMA SRC MUSAAT	01	404009002	410200300	S	S	0.0	N	S	0.0	0	COAATLR   	00	N		N	SRC	S		N	N	N	01		S
05        	CUOTA INTERVENCION PROFESIONAL	D	700000010	70000003	S	S	0.0	S	S	0.0	0	COAATLR   	Z8	N		N	CIP	N		N	S	N	01		S
02        	CUOTA INTERVENCIÓN VISADO	D	700000020	70000005	S	S	0.0	S	S	0.0	0	COAATLR   	Z8	N		0	CIV	N		N	S	N	01		S
00-04CC   	REV.DOCUMENTAL EXPEDIENTE+CC	 	700001004	700001004	S	S	80.0	S	S	14.4		COAATLR   	Z8	N	 	N	Revisión+CC	N	 	S	S	N	01		
00-20     	TRAMITACION INTERCOLEGIAL EXPEDIENTES	00	700001020	700001020	S	S	0.0	S	S	0.0		COAATLR   	Z8	N	 	N	Tramitación	N	 	S	S	N	01		
100       	MUSAAT PRIMA VARIABLE	01	404009002	41100001	S	S	0.0	S	N	0.0	0	COAATLR   	00	S		S	RPF	N		N	N	N	02		N
102       	MUSAAT PRIMA FIJA	01	404009001	41100001	S	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	PFT	S		N	N	N	02		N
103       	MUSAAT PRIMA FIJA (PLAZO 1)	01	404009001	41100001	S	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	PF1	S		N	N	N	02		N
104       	MUSAAT PRIMA FIJA (PLAZO 2)	01	404009001	41100001	S	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	PF2	S		N	N	N	02		N
150       	PREMAAT - CUOTAS ATRASADAS	02	410200100	45400002	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	RPR	N		N	N	N	02		N
151       	PREMAAT PAGO PRESTACIONES	02	410500000	45400001	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	PRE	N		N	N	N	02		N
150Vb     	PREMAAT - RECOMPRA VIUDEDAD (BASICO)	02	410200100	45400002	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	Vb	N		N	N	N	02		N
150Sv     	PREMAAT - SEGURO DE VIDA	02	410200100	45400002	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	Sv	N		N	N	N	02		N
150Vc     	PREMAAT - RECOMPRA VIUDEDAD (COMPLE)	02	410200100	 	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	Vc	N		N	N	N	02		N
1502k     	PREMAAT CUOTA MES G.2000 	02	410200100	 	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	2k	N		N	N	N	02		N
150Ba     	PREMAAT CUOTA MES G.BASICO 	02	410200100	 	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	Ba	N		N	N	N	02		N
SRCPF     	MUSAT PRIMA FIJA SEG .R.CIVIL	01	410200301	403002	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	403002	N		N	N	N	02		N
150CA     	PREMAAT CUOTAS ATRASADAS	02	410200100		N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	CA	N		N	N	N	02		N
150JV     	PREMAAT CUOTA COMP.2 JUB/VIUD.	02	410200100		N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	Jv	N		N	N	N	02		N
150C1     	PREMAAT CUOTA MES COMPLEM.	02	410200100	 	N	S	0.0	S	N	0.0	0	COAATLR   	00	N		S	C1	N		N	N	N	02		N
150Jv     	PREMAAT CUOTA COMP.2 JUB/VIUD.	02	410200100	 	N	S	0.0	S	N	0.0		COAATLR   	00	N	 	S	Jv	N	 	N	N	N	02		N
154       	INGRESO PREMAAT	02	410200100	75400003	N	S	0.0	S	N	0.0	0	COAATLR   	Z8	N		N	RPR	N		N	N	N	02		N
101       	INGRESO MUSAAT	01	754000002	75400002	S	S	0.0	S	N	0.0	0	COAATLR   	Z8	N		N	IMU	N		N	N	N	02		N
12        	PRIMA SRC MUSAAT	01	404009002	410200300	S	S	0.0	S	S	0.0	0	COAATLR   	00	N		N	SRC	S		N	N	N	02		S
00-00CC   	GASTOS DE REGISTRO C.CALIDAD	00	700001000	700001000	S	S	60.0	S	S	10.800000000000001		COAATLR   	Z8	N	 	N	00	N	 	S	S	N	01		
CUOEX     	CUOTA EXTRAORDINARIA COLEGIAL	00	700000001	 	N	N	150.0	S	N	12.0		COAATLR   	Z7	N	 	N	CEC	N	 	N	N	N	01		
