15        	HONORARIOS	H	HONOS		N	S	0.0	S	N	0.0	100	COAATTFE  	05	S		N	HON	N			S	S	01		N
LCEEPYO   	LIBRO-COMO EVITAR ERRORES EN PROYECTOS Y OBRAS		-		N	S	60.0	N	N	0.0	0	COAATTFE  	00	N		S	LCEEP	N		N	N	N	01		N
CVIR      	CURSO DE VISARED	07	99		N	N	0.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
BO1       	INTERESADOS EN TITULO INGENIERO EDIFICACION ULL		99		N	N	0.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
CP6.0     	CURSO PROTOPO 6.0 	07	99		N	S	185.0	N	N	0.0	0	COAATTFE  	00	N		S	CP6.0	N		N	N	N	01		N
CP6.0 N.C.	CURSO PROTOPO 6.0 (N.C.)	07	99		N	S	215.0	N	N	0.0	0	COAATTFE  	00	N		S	CP6.0	N		N	N	N	01		N
B02       	CURSO DE VISARED	07	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
B03       	SISTEMAS DE FACHADA GRC	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
LIB01     	LIBRO -INFLUENCIAS, DAÑOS Y TRATAMIENTOS DE LAS HUMEDADES EN LA EDIFICACION	00	0	 	N	N	62.399999999999999	S	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
LIB02     	LIBRO- PROBLEMAS, DUDAS Y SOLUCIONES DURANTE EL PROYECTO Y EJECUCIÒN DE LA EDIFICACION	 	0	 	N	N	65.400000000000006	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
BSP       	LA CONSTRUCCIÓN DEL BIENESTAR	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
RITE      	REGLAMENTO DE INSTALACIONES TERMICAS	 	99	 	N	N	150.0	N	N	0.0	0	COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
BO4       	EL NUEVO RITE. SU APLICACION EN LA DO Y EN LA VENTILACION DE LOCALES COMERCIALES	 	99	 	N	N	125.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
ARQ       	CURSO ARQUIMEDES 2009	07	99	 	N	N	90.0	N	N	0.0	0	COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
VIS       	III CURSO VISARED	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
LTCPLM    	LIBRO TRATAMIENTO Y CONSERVACIÓN DE LA PIEDRA, EL LADRILLO Y LOS MORTEROS	00	69	 	N	N	29.0	N	N	0.0		COAATTFE  	00	N	 	N	LTCPLM	N	 	N	N	N	01		N
EHE-08    	LIBRO-DOCUMENTO DE APLICACION DE LA EHE  A EDIFICACIÓN	00	69	 	N	N	3.0	S	N	0.0		COAATTFE  	00	N	 	N	EHE-08	N	 	N	N	N	01		N
P.I.ITE   	PROGRAMA INFORMATICO I.T.E.	00	69	 	N	N	75.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
B4V       	IV CURSO DE VISARED	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
LIDER1    	CURSO LIDER 1	07	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
LIDER 2   	CURSO LIDER 2	07	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
RCLIDER   	RESERVA CURSO LIDER 2	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
OLGA      	PROY3CTA	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
CDEO      	CDEO PACK (EJECUCIÓN +  CALIDAD)	00	0	 	N	N	366.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CDEO-1    	CDEO EJECUCIÓN	00	0	 	N	N	316.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
PIITE     	PROGRAMA INFORMATICO I.T.E.	00	00	 	N	N	75.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
99        	CHARLA POR PARTE DE LA UNIVERSIDAD DE NEBRIJA	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
98        	CURSO DE ADAPTACIÓN DE INGENIERIA DE EDIFICACIÓN	07	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
psamrt    	SMART SOLUTION JEFES DE OBRA (OBRA DE EDIFICACIÓN Y OBRA CIVIL)	00	69	 	N	N	828.45000000000005	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
069       	PROGRAMA INF.MANUAL DEL EDIFICIO	00	0	 	N	N	150.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CIPJ      	CURSO INICIACIÓN AL PERITAJE JUDICIAL	07	69	 	N	N	325.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CIPJ(NC)  	CURSO INICIACIÓN AL PERITAJE JUDICIAL (NC)	07	69	 	N	N	375.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CAPJ      	CURSO AVANZADO DE PERITACIÓN JUDICIAL	07	69	 	N	N	175.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CAPJ(NC)  	CURSO AVANZADO DE PERITACIÓN JUDICIAL (NC)	07	69	 	N	N	225.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CIAC      	CURSO INICIACIÓN Y AVANZADO -COMPLETO-	07	69	 	N	N	450.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CIAC(NC)  	CURSO INICIACIÓN Y AVANZADO -COMPLETO-(NC)	07	69	 	N	N	500.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
BPCTE     	TALLER PRÁCTICO CTE	 	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	TALLER PRÁCTICO CTE	N	 	N	N	N	01		N
INGB      	CURSO INGLÉS BÁSICO	07	69	 	N	N	175.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
INGBNC    	CURSO INGLÉS BÁSICO (N.C.)	07	69	 	N	N	205.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
EV.ED.EX. 	JORNADAS SOBRE EVALUACIÓN DE EDIFICIOS EXISTENTES	00	69	 	N	N	20.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CIA       	CURSO DE INGLES AVANZADO	07	69	 	N	N	175.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CIA(N.C.) 	CURSO DE INGLES AVANZADO (N.C.)	07	69	 	N	N	205.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
APLIC.CTE 	TALLER PRÁCTICO:APLICACIÓN DEL NUEVO C.T.E. DIRIGIDO A DIRECTORES DE EJEC.	00	69	 	N	N	265.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
APL.CTE(N.	TALLER PRÁCTICO :APLICACIÓN DEL NUEVO C.T.E.DIRIGIDO A DIRECTORES DE EJEC.	00	69	 	N	N	315.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
C.PAT     	CURSO PATOLOGIAS	07	69	 	N	N	275.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
C.PAT.N.C.	CURSO PATOLOGIAS (N.C.)	07	69	 	N	N	300.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
PAT.      	CURSO PATOLOGIAS	07	69	 	N	N	275.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
C.PAT.(N.C	CURSO PATOLOGIAS(NO COLEGIADO)	07	69	 	N	N	300.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
cvt       	CURSO VALORACIONES Y TASACIONES	07	69	 	N	N	150.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
C.CALEST  	CURSO PRÁCTICO:CÁLCULO DE ESTRUCTURAS DE HORMIGÓN ARMADO	07	69	 	N	N	275.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
cihe      	CURSO INSTRUCCIÓN DE HORMIGON ESTRUCTURAL	07	69	 	N	N	115.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CA.EST.   	CURSO PRACTICO:CÁLCULO DE ESTRUCTURAS METÁLICAS	07	69	 	N	N	107.5	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
ehe-08    	CURSO "INSTRUCCIÓN DE HORMIGÓN ESTRUCTURAL"	07	69	 	N	N	45.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CALE      	CURSO "EFICIENCIA Y CALIFACIÓN ENERGÉTICA DE LOS EDIFICIOS NUEVOS DE NUEVA	07	69	 	N	N	84.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
001       	PREVENCIÓN DE HUMEDADES EN CUBIERTA	00	069	 	N	N	160.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
ABC       	CUOTA COLEGIAL  - ABONO A CUENTA	03	0	 	N	S	0.0	S	N	0.0		COAATTFE  	00	N	 	S	CUOTA COLEGIAL  - ABONO A CUENTA	N	 	N	N	N	01		N
150RE     	PREMAAT - RECARGO 6%	02	45400002	45400002	N	S	0.0	S	N	0.0		COAATTFE  	00	N	 	S	Rec	N	 	N	N	N	01		N
69        	CURSO DE REHABILITACION SOSTENIBLE DE EDIFICIOS	07	69	 	N	N	100.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
FIA4      	FOTOCOPIAS E IMPRESIONES EN DIN A4	04	0	 	N	N	.10000000000000001	S	N	.0050000000000000001		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		N
FIA3      	FOTOCOPIAS E IMPRESIONES EN DIN A3	04	0	 	N	N	.20000000000000001	S	N	.01		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		N
CADM      	CERTIFICADO PARA LA ADMON. PUBLICA	04	0	 	N	N	15.0	S	N	.75		COAATTFE  	05	N	 	N	CERTIFICADO PARA LA ADMON. PUBLICA	N	 	N	N	N	01		N
COMPL     	COMPULSA DE DOCUMENTOS	04	0	 	N	N	3.0	S	N	.14999999999999999		COAATTFE  	05	N	 	N	COMPULSA DE DOCUMENTOS	N	 	N	N	N	01		N
OOSS      	OTROS SERVICIOS	04	0	 	N	N	0.0	S	N	0.0		COAATTFE  	05	N	 	N	OTROS SERVICIOS	N	 	N	N	N	01		N
CETI      	CERTIFICADOS DE TITULACION	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADOS DE TITULACION	N	 	N	N	N	01		N
C003      	CERTIFICADO LISTA DE PERITOS TASADORES	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO LISTA DE PERITOS JUDICIALES	N	 	N	N	N	01		N
C002      	CERTIFICADO LISTA DE PERITOS JUDICIALES	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO LISTA DE PERITOS JUDICIALES	N	 	N	N	N	01		N
C001      	CERTIFICADO CON HISTORICO DE FECHAS	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO CON HISTORICO DE FECHAS	N	 	N	N	N	01		N
C000      	CERTIFICADO DE COLEGIACION	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE COLEGIACION	N	 	N	N	N	01		N
C100      	CERTIFICADO DE PREMAAT	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE PREMAAT	N	 	N	N	N	01		N
C101      	CERTIFICADO DE AFILIACION	04	0	 	N	N	10.0	N	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE AFILIACION	N	 	N	N	N	01		N
C102      	CERTIFICADO DE AFILIACION CON HISTORICO DE FECHAS	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE AFILIACION CON HISTORICO DE FECHAS	N	 	N	N	N	01		N
C103      	CERTIFICADO DE CUOTAS ABONADAS	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE CUOTAS ABONADAS	N	 	N	N	N	01		N
C105      	CERTIFICADO DE AFILIACION SOLICITADA Y EN TRAMITE	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE AFILIACION SOLICITADA Y EN TRAMITE	N	 	N	N	N	01		N
C200      	CERTIFICADO DE TRABAJOS PROFESIONALES	04	0	 	N	N	20.0	S	N	1.0		COAATTFE  	05	N	 	N	CERTIFICADO DE TRABAJOS PROFESIONALES	N	 	N	N	N	01		N
C300      	CERTIFICADO DE TRABAJOS PROFESIONALES (PERSONALIZADO)	04	0	 	N	N	100.0	S	N	5.0		COAATTFE  	05	N	 	N	CERTIFICADO DE TRABAJOS PROFESIONALES (PERSONALIZADO)	N	 	N	N	N	01		N
C201      	CERTIFICADO DE DOCUMENTACION PRESENTADA A VISADO	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE DOCUMENTACION PRESENTADA A VISADO	N	 	N	N	N	01		N
C202      	CERTIFICADO DE TRABAJO VISADO	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE TRABAJO VISADO	N	 	N	N	N	01		N
C203      	CERTIFICADO DE TRABAJOS VISADOS ENTRE FECHA	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE TRABAJOS VISADOS ENTRE FECHA	N	 	N	N	N	01		N
C204      	CERTIFICADO DE CIP ABONADA POR TRABAJO VISADO	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE CIP ABONADA POR TRABAJO VISADO	N	 	N	N	N	01		N
C205      	CERTIFICADO DE CIP ABONADA EN EL AÑO EN CURSO	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE CIP ABONADA EN EL AÑO EN CURSO	N	 	N	N	N	01		N
C206      	CERTIFICADO DE CIP Y MUSAAT DE UN TRABAJO	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE CIP Y MUSAAT DE UN TRABAJO	N	 	N	N	N	01		N
C207      	CERTIFICADO DE CIP Y MUSAAT ABONADA EN EL AÑO EN CURSO	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE CIP Y MUSAAT ABONADA EN EL AÑO EN CURSO	N	 	N	N	N	01		N
C400      	CERTIFICADOS DE HONORARIOS	04	0	 	N	N	20.0	S	N	1.0		COAATTFE  	05	N	 	N	CERTIFICADOS DE HONORARIOS	N	 	N	N	N	01		N
C999      	CERTIFICADOS PERSONALIZADOS	04	0	 	N	S	15.0	S	N	.75		COAATTFE  	05	N	 	N	OTROS CERTIFICADOS PERSONALIZADOS	N	 	S	S	N	01		N
C500      	CERTIFICADO DE MUSAAT	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE MUSAAT	N	 	N	N	N	01		N
C501      	CERTIFICADO DE ASEGURAMIENTO	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE ASEGURAMIENTO	N	 	N	N	N	01		N
C502      	CERTIFICADO DE ASEGURAMIENTO SOLICITADO Y EN TRAMITE	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE ASEGURAMIENTO SOLICITADO Y EN TRAMITE	N	 	N	N	N	01		N
C503      	CERTIFICADO DE COBERTURA ASEGURADA	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE COBERTURA ASEGURADA	N	 	N	N	N	01		N
C504      	CERTIFICADO DE POLIZA ABONADA	04	0	 	N	N	10.0	S	N	.5		COAATTFE  	05	N	 	N	CERTIFICADO DE POLIZA ABONADA	N	 	N	N	N	01		N
C505      	CERTIFICADO DE TRABAJO PROFESIONAL VISADO CUBIERTO POR S.R.C.	04	0	 	N	N	0.0	S	N	0.0		COAATTFE  	05	N	 	N	CERTIFICADO DE TRABAJO PROFESIONAL VISADO CUBIERTO POR S.R.C	N	 	N	N	N	01		N
C301      	CERTIFICADO ATRIBUCIONES A.	04	0	 	S	S	10.0	S	S	.5	100	COAATTFE  	05	N	 	N	CERTIFICADO ATRIBUCIONES AYUNTAMIENTO	N	 	S	S	S	01		N
c302      	CERTIFICADO ATRIBUCIONES N.	04	0	 	S	S	10.0	S	S	.5		COAATTFE  	05	N	 	N	CERTIFICADO ATRIBUCIONES NOTARIA	N	 	S	S	S	01		N
LDAEHE    	LIBRO DA-EHE DOCUMENTO DE APLICACION DE LA EHE-08 A EDIFICACIÓN	00	0	 	N	N	3.0	S	N	0.0		COAATTFE  	00	N	 	N	LIBRO DA-EHE DOCUMENTO DE APLICACION DE LA EHE-08 A EDIFICAC	N	 	N	N	N	01		N
TRDP      	GASTOS DE TRAMITACIÓN	00	0	 	S	S	0.0	N	S	0.0		COAATTFE  	05	N	 	N	GASTOS DE TRAMITACIÓN	N	 	N	N	N	01		N
LCTE2     	LIBRO CTE 2010	00	0	 	N	N	70.310000000000002	N	N	3.5154999999999998		COAATTFE  	05	N	 	N	LIBRO DE CODIGO TECNICO 2010	N	 	N	N	N	01		N
CGRC      	CURSO GESTION DE RESIDUOS (C)	07	0	 	N	N	60.0	N	N	0.0		COAATTFE  	00	N	 	N	CURSO GESTION DE RESIDUOS (C)	N	 	N	N	N	01	 	N
CGRNC     	CURSO GESTION DE RESIDUOS (NC)	07	0	 	N	N	170.0	N	N	0.0		COAATTFE  	00	N	 	N	CURSO GESTION DE RESIDUOS (NC)	N	 	N	N	N	01		N
CPATC     	CURSO PATOLOGÍAS (C)	07	0	 	N	N	95.0	N	N	0.0		COAATTFE  	00	N	 	N	CURSO PATOLOGÍAS (C)	N	 	N	N	N	01		N
CPATNC    	CURSO PATOLOGÍAS (NC)	07	0	 	N	N	240.0	N	N	0.0		COAATTFE  	00	N	 	N	CURSO PATOLOGÍAS (NC)	N	 	N	N	N	01		N
LCT2010C  	LIBRO CÓDIGO TÉCNICO 2010 (C)	 	0	 	N	N	70.310000000000002	N	N	3.5154999999999998		COAATTFE  	05	N	 	N	LIBRO CÓDIGO TÉCNICO 2010 (C)	N	 	N	N	N	01		N
CTE       	CODIGO TÉCNICO DE LA EDIFICACIÓN	 	0	 	N	N	20.0	N	N	1.0		COAATTFE  	05	N	 	N	CODIGO TÉCNICO DE LA EDIFICACIÓN	N	 	N	N	N	01		N
P50%      	PREMAAT -  CUOTA 50% 2K	02	4540002	454000002	N	S	0.0	S	N	0.0		COAATTFE  	00	N	 	S	PREMAAT CUOTA 50%	N	 	N	N	N	01	 	N
PR ABC    	PREMAAT - ABONO A CUENTA	02	0	 	N	S	0.0	S	N	0.0		COAATTFE  	00	N	 	S	ABONO A CUENTA PREMAAT	N	 	N	N	N	01		N
BP2       	LIBRO HISTORIA DE UN APAREJADOR	 	0001	 	N	S	10.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
BP        	LIBRO HISTORIA DE UN APAREJADOR	 	99	 	N	N	10.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CGRCT     	CURSO GESTION DE RESIDUOS COLEGIADOS  TOTAL FRA.	07	0	 	N	N	120.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CPATCT    	CURSO PATOLOGIAS CONSTRUCCION COLEGIADO TOTAL ABONO	07	0	 	N	N	190.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
CDR       	DEVOLUCIÓN DE RECIBOS	04	0	 	N	S	1.0	S	N	.050000000000000003		COAATTFE  	05	N	 	S	DEVOLUCION DE RECIBOS	N	 	N	N	N	01	 	N
RESS      	CURSO PRÁCTICO "LA REDACCIÓN DE ESTUDIOS DE SEGURIDAD Y SALUD"	07	69	 	N	N	65.0	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
PRE DEV   	PREMAAT TRAMITACION DEV.	02	0	 	N	N	1.0	S	N	0.0		COAATTFE  	00	N	 	S	TRAMITACIÓN DEV	N	 	N	N	N	01	 	N
CTD       	CUOTA COLEGIAL - TRAM. DEVOLUCION	03	0	 	N	S	1.0	S	N	.050000000000000003		COAATTFE  	05	N	 	S	CUOTA COLEGIAL - TRAM. DEVOLUCION	N	 	S	N	N	01		N
PCCO      	CURSO TALLER "EL PLAN DE CONTROL DE CALIDAD EN OBRA"	07	69	 	N	N	50.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		N
PAC       	PAGO A CUENTA SEGUN FACTURA DEL TECNICO	05	-		N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		N	PAC	N		N	S	N	01		N
CCTE      	LIBRO FICHAS - CODIGO TECNICO DE LA EDIFICACIÓN		-		N	S	35.0	N	S	0.0	0	COAATTFE  	00	N		S	CCTE	N		N	N	N	01		N
JFSE2     	JORNADAS FORMATIVAS CTE. SEGURIDAD ESTRUCTURAL (NC)		-		N	N	45.0	N	N	0.0	0	COAATTFE  	00	N		N	JSE2	N		N	N	N	01		N
CSEE      	CURSO SINDROME DEL EDIFICIO ENFERMO	07	99		N	N	30.0	N	N	0.0	0	COAATTFE  	00	N		0		N		N	N	N	01		N
CDEO-2    	CDEO (CALIDAD)	00	0	 	N	N	80.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
BPING     	CURSO DE INGLES 	07	99	 	N	N	0.0	N	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		N
LUM       	LIBRO URBANISMO MENOR	 	0	 	N	N	70.140000000000001	N	N	3.5070000000000001		COAATTFE  	05	N	 	N	LIBRO URBANISMO MENOR	N	 	N	N	N	01		N
12        	M.U.S.A.A.T. C.I.F.- V28865855	01	-	41000003	S	S	0.0	S	S	0.0	202	COAATTFE  	00	N		N	MUS	S			N	N	01		S
05        	DERECHOS DE INTERVENCION COLEGIAL	05	0	70000003	S	S	0.0	S	S	0.0	201	COAATTFE  	05	N		N	DERECHOS DE INTERVENCION COLEGIAL	N		S	N	N	01		S
02        	DERECHOS DE VISADO	D	-	70000005	S	S	0.0	S	S	0.0	200	COAATTFE  	05	N		0	DVI	N			N	N	01		S
OTROS     	CUOTA COLEGIAL - OTROS CONCEPTOS	03	-		N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	CUOTA COLEGIAL - OTROS CONCEPTOS	N		N	N	N	01		N
LINC      	LIBRO-MANUAL DE INSTALACIONES CONTA INCENDIOS	00	69	 	N	N	42.979999999999997	S	N	2.149		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
LMITC     	LIBRO-MANUAL PARA LA REDACCIÓN DE INFORMES TÉCNICOS EN CONSTRUCCIÓN.	00	69	 	N	N	85.079999999999998	S	N	4.2539999999999996		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
LECESOLAR 	LIBRO-ETAPAS CONSTRUCTIVAS DESDE LA ELECCIÓN DEL SOLARA HASTA LAS T.O.	00	69	 	N	N	43.119999999999997	S	N	2.1560000000000001		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
GUIA      	LIBRO-GUIA COMPLETA DE LA ENERGÍA SOLAR TÉRMICA Y TERMOELÉCTRICA	00	69	 	N	N	41.189999999999998	S	N	2.0594999999999999		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
CD        	CD-ROM-REGLAMENTO DE INSTALACIONES TÉRMICAS EN EDIFICIOS LEGISLACIÓN.	00	69	 	N	N	58.479999999999997	S	N	2.9239999999999999		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
CTEII     	LIBRO-CODIGO TÉCNICO DE LA EDIFICACIÓN	00	69	 	N	N	70.310000000000002	S	N	3.5154999999999998		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
URB.      	LIBRO-URBANISMO MENOR-MANUAL DE CONSULTA PRÁCTICO PARA JURISTAS Y TEC.	00	69	 	N	N	70.140000000000001	S	N	3.5070000000000001		COAATTFE  	05	N	 	N	 	N	 	N	N	N	01		
GSD       	GRABACIÓN EN SOPORTE DIGITAL	04	99	 	N	S	5.0	S	N	.25		COAATTFE  	05	N	 	S	GRABACIÓN EN SOPORTE DIGITAL	N	 	S	S	N	01	 	
CVAL      	CURSO VALORACIONES	07	69	 	N	N	165.0	S	N	0.0		COAATTFE  	 	N	 	N	 	N	 	N	N	N	01		
CPE-F     	CURSO PATOLOGIA EN LA EDIFICACION - FORJADOS.	07	99		N	S	110.0	N	N	0.0	0	COAATTFE  	00	N		S	C.	N		N	N	N	01		N
0069      	CURSO-LA REGULACIÓN DE LA CONTRATACIÓN CON EL SECTOR PÚBLICO.	00	69	 	N	N	105.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
pgct      	-PLIEGO GRAL.CONDICIONES TEC.EN LA EDIFICACION  2.010	00	69	 	N	N	33.289999999999999	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
PGCT      	LIBRO-PLIEGO GRAL.CONDICIONES TEC.EDIFICACION 2.010	00	69	 	N	N	33.289999999999999	N	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
PGCT.     	LIBRO+EDICION INFORMATICA PLIEGO GRAL.CONDICIONES TEC.EN LA EDIFICACION	00	69	 	N	N	47.5	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
PGCT..    	EDICION INFORMATICA CONDICIONES TECNICAS EN LA EDIFICACION 2.010	00	69	 	N	N	23.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CMET      	CURSO DE MANEJO ESTACIÓN TOTAL ÚLTIMA GENERACIÓN	 	69	 	N	N	175.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CMGPS     	CURSO MANEJO G.P.S.	00	69	 	N	N	220.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CN        	CURSO DE NEGOCIACIÓN	00	69	 	N	N	120.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CYPE      	CURS0-EFICIENCIA Y CALIFACIÓN ENERGÉTICA DE LOS EDF.NUEVOS DE NUEVA CONST	04	69	 	N	N	84.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
C-N       	CURSO NEGOCIACIÓN	00	69	 	N	N	120.0	S	N	0.0		COAATTFE  	00	N	 	N	 	N	 	N	N	N	01		
CCYP      	CURSO CYPECAD 1.PARTE	00	69	 	N	N	138.0	S	N	0.0		COAATTFE  	00	N	 	S	 	N	 	N	N	N	01		
